IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",41,"1990",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",-0.467
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",42,"1991",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.618
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",43,"1992",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",12.347
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",44,"1993",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",11.328
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",45,"1994",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",5.689
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",46,"1995",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.136
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",47,"1996",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.88
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",48,"1997",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.732
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",49,"1998",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.796
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",4,"Afghanistan","AF","AFG",50,"1999",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.663
