"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Aruba","ABW","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34579.220639762","35552.0844155826","35947.3722593228","36124.3033492699","37118.2720488659","37009.6479728846","35997.8544202823","37070.0133081279","36889.4231951587","36842.9551654158","39244.8298545806","40505.5330010609","39846.0627615715","39832.5790764609","41834.9275811055","40608.8196948258","40335.4176892185","41272.27939244","41710.4970441525","36590.560109989","35508.5945732562","36435.5553328221","35530.2600441558","37255.3534520324","36275.6809553371","35682.3002526702","36021.8308363445","38558.0045581753","39419.5553476692","38435.4269132506","28521.6888517757","35696.3093722926","38877.6744362842","40516.8085633136"
"Afghanistan","AFG","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1617.82647494969","1454.11078195559","1774.30874287341","1815.92819979586","1776.91820712187","1908.11478234587","1929.72389709372","2155.35306784413","2191.50435559062","2565.02208584099","2848.58606111495","2757.05258747725","2985.31914452845","3046.57993117128","3017.94254424696","2967.692067153","2958.7853992308","2952.99891598909","2902.39211285546","2927.2451435353","2769.68574507111","2144.16657002819","1981.71016810561","1992.42439419795"
"Angola","AGO","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7391.75235368345","7218.44143173584","6578.06857492","4843.15588381552","4751.47164903966","5284.70313321921","5800.9625138357","6015.18684736899","6090.09587758534","6021.22914776477","6002.98914011246","6049.16321222272","6645.47776627718","6609.21488902386","7074.02594737625","7845.89015271542","8435.4550466421","9263.98070293341","9916.90935059131","9629.09194801829","9672.83922433216","9627.02059776978","10051.3399118452","10150.9160957693","10250.5924040333","9980.92988185425","9381.80972573042","9042.11712940232","8620.21466424389","8274.54256174643","7556.96792771976","7408.12659121059","7397.48642731105","7244.89305295156"
"Albania","ALB","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5407.32479575301","3916.6972572332","3657.31197554002","4031.45313832388","4393.0648762077","5009.17008096795","5499.07592534684","4929.3108962899","5398.40800064695","6133.02709295504","6600.97843636016","7215.81978300848","7565.82134174301","8014.03660295227","8491.39827067066","9006.64633519257","9598.64626209865","10250.1283586532","11103.7701618508","11553.8214966656","12041.7490637161","12381.5241676393","12577.7555781943","12727.0830132376","12979.7650038164","13306.4432410003","13769.5464825027","14306.2988631117","14918.0807739231","15290.7775509636","14869.22002167","16353.808681641","17352.8530409153","18244.29201007"
"Andorra","AND","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50036.3007757561","47624.9668573542","45246.53307101","42605.6595832451","42716.3656354","44375.0247238159","46386.0912022485","50032.3529125128","51092.2222352218","52921.0452609846","54809.1441679423","59109.0136806378","61188.6370851474","63656.1958332184","64353.4858113531","65114.8053663021","66390.293726491","65534.1168555171","60691.6051530637","57203.9708883731","58285.0577756981","60470.4662377044","58172.1323929474","57332.1585611366","59929.2444670501","62105.1542389675","64402.8092369468","63239.6577711911","63048.5985572834","63215.899791913","55488.4902991095","59332.2029100127","63913.3835079105","64631.2963909271"
"United Arab Emirates","ARE","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108057.042463812","103098.537131595","101100.487512026","97429.1639228323","99402.0219384146","101412.082063441","100563.698291494","100310.446244747","93224.2199599987","89303.7759053152","92547.2290366157","88045.1975154911","84871.6027555495","87150.8833812142","90388.9837721326","89986.1311237032","92044.5126089174","84581.8658091331","77891.9886000886","69357.9974293595","68799.9308562268","70662.5159525691","69158.8266413681","69806.9559832794","69409.0370433601","70234.7317531027","70573.992709624","68871.8495814593","68854.9699016986","68887.8454107816","65784.6769388646","67401.1212950201","68867.8259305075","68577.5405661277"
"Argentina","ARG","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17007.2844317191","18295.6091996812","19476.2840606477","20791.3451479504","21711.842788091","20819.4999479903","21695.5949515372","23172.1583398342","23783.1017185449","22714.5111302701","22281.3814299958","21066.4581290433","18571.7020471274","20005.1385113465","21591.449396517","23262.4075792816","24877.2493922296","26850.6645932771","27658.4853446831","25747.1976809995","28056.2570212342","29425.7593876084","28825.9666865361","29227.6601818437","28200.8152571318","28669.2061336796","27802.1057201498","28334.904184742","27367.115094108","26629.5529419501","23877.0931404855","26300.274261175","27627.9634764636","27104.9799978169"
"Armenia","ARM","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6137.60045786761","5326.75285558236","3136.72428260526","2958.88037185647","3200.89649468569","3480.7559365251","3717.33576522762","3879.17938009678","4211.51276778797","4406.96706718618","4589.00825039977","5044.11647826468","5731.35346609213","6569.26023440631","7299.40001858866","8362.90084037119","9525.23146779778","10898.8483795634","11727.4821272949","10143.2350796867","10438.5641904169","10990.177099035","11796.2741177994","12194.0189523843","12667.3757330249","13112.7600902915","13192.9940731731","14243.8749003795","15037.0452420712","16215.3607965094","15052.9359791136","15921.705281964","17886.1783877168","19230.1899296884"
"American Samoa","ASM","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Antigua and Barbuda","ATG","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21078.7855474879","21428.5661241833","21334.5272625901","22055.9150532998","23086.2457164435","21643.9909532492","22601.8809726922","23355.0144937395","24000.9381663039","24467.112019107","25552.7238996493","24019.5911240671","23962.9657845879","25141.1012020949","26308.8627715661","27698.2159589684","30833.5176024317","33251.9731474969","32762.9135009685","28411.391371682","25831.8137914213","25028.9661387322","25597.9939556746","25211.9241075013","25565.9656842771","25748.624442696","26637.4181596117","27143.0416282234","28884.1201297316","29636.8924377024","23915.1619842858","25733.2948269644","28033.1307782063","28967.2556775267"
